name,acronym,source,faculty,institute,number_women,number_men,,
Ecological Systems Laboratory,ECOS,https://www.epfl.ch/labs/ecos/,ENAC,IIE,1,1,,
Emergent Complexity in Physical Systems,ECPS,https://www.epfl.ch/labs/ecps/,STI,IGM,1,6,,
Group of Electron Device Modeling and Technology,EDLAB,https://www.epfl.ch/labs/edlab/,STI,IEL,0,3,,
Electrical characterization facilities,EE Lab,https://www.epfl.ch/labs/eelab/,STI,,0,0,,
Extreme Environments Research Laboratory - EERL,EERL,https://www.epfl.ch/labs/eerl/,ENAC,IIE,3,3,,
Earthquake Engineering and Structural Dynamics Laboratory,EESD,https://www.epfl.ch/labs/eesd/,ENAC,IIC,4,11,,
Chair of ergodic and geometric group theory,EGG,http://egg.epfl.ch/,SB,MATH,6,23,,
Environmental Microbiology Laboratory,EML,https://www.epfl.ch/labs/eml/,ENAC,IIE,6,7,,
Laboratory for Experimental Museology,EMPLUS,https://www.epfl.ch/labs/emplus/,CDH,DHI,3,7,,
Engineering Mechanics of Soft Interfaces,EMSI,https://www.epfl.ch/labs/emsi/,STI,IGM,1,7,,
Entrepreneurship and Technology Commercialization,ENTC,https://www.epfl.ch/labs/entc/,CDM,MTEI,4,3,,
Earth and Planetary Science Laboratory,EPSL,https://www.epfl.ch/labs/epsl/,SB,IPHYS,1,5,,
Embedded Systems Laboratory,ESL,https://www.epfl.ch/labs/esl/,STI,IEL,5,30,,
Laboratory of Construction and Architecture,FAR,https://www.epfl.ch/labs/far/,ENAC,IA,0,4,,
Laboratory of Photonic Materials and Fiber Devices,FIMAP,https://www.epfl.ch/labs/fimap/,STI,IMX,4,8,,
Flexible Structures Laboratory,FLEXLAB,https://www.epfl.ch/labs/flexlab/,STI,IGM,2,6,,
Fields and Strings Laboratory,FSL,https://www.epfl.ch/labs/fsl/,SB,IPHYS,0,11,,
Galatea Laboratory,GALATEA,https://www.epfl.ch/labs/galatea/,STI,IMT,3,13,,
Geo-energy Laboratory - Gaznat Chair on Geo-energy,GEL,https://www.epfl.ch/labs/gel/,ENAC,IIC,0,10,,
Group for Gas-Surface Dynamics,GGSD,https://www.epfl.ch/labs/ggsd/,SB,ISIC,1,2,,
Standard Candles and Distances,GR-ANDERSON,https://www.epfl.ch/labs/scd/,SB,IPHYS,0,1,,
Aztekin Lab of Structural Regeneration,GR-AZTEKIN,https://www.epfl.ch/labs/aztekin-lab/,SV,ISREC,0,1,,
Bucher Lab,GR-Bucher,https://www.epfl.ch/labs/bucher-lab/,SV,ISREC,0,1,,
Central Environmental Laboratory,GR-CEL,https://www.epfl.ch/labs/gr-cel/,ENAC,IIE,5,10,,
Dil Group - Spin Orbit Interaction Spectroscopy,GR-DIL,https://www.epfl.ch/labs/sois/,SB,IPHYS,0,1,,
Fellay Group,GR-FE,https://www.epfl.ch/labs/fellay-lab/,SV,GHI,2,6,,
Schürmann Group,GR-FSCH,https://www.epfl.ch/labs/gr-fsch/,SV,,2,6,,
Galland Group - Laboratory of Quantum Nano-Optics,GR-GA,https://www.epfl.ch/labs/lqno/,SB,IPHYS,4,7,,
Gnansounou Group - Bioenergy and Energy Planning Research Group,GR-GN,https://www.epfl.ch/labs/bpe/,ENAC,IIC,1,1,,
Experimental evolutionary neurobiology,GR-JAKSIC,https://www.epfl.ch/labs/jaksic-lab/,SV,BMI,1,0,,
Kayal Group - Electronics Laboratory,GR-KA,https://www.epfl.ch/labs/elab/,STI,IEL,0,2,,
