name,acronym,source,faculty,institute,number_women,number_men,,
Laboratory of molecular simulation,LSMO,https://www.epfl.ch/labs/lsmo/,SB,ISIC,,,,
Computational Solid Mechanics Laboratory,LSMS,https://www.epfl.ch/labs/lsms/,ENAC,IIC,,,,
Peripheral Systems Laboratory,LSP,https://www.epfl.ch/labs/lsp/,IC,,,,,
Laboratory of Photomolecular Science,LSPM,https://www.epfl.ch/labs/lspm/,SB,ISIC,,,,
Laboratory of synthesis and natural products,LSPN,https://www.epfl.ch/labs/lspn/,SB,ISIC,,,,
Laboratory of Ultrafast Spectroscopy,LSU,https://www.epfl.ch/labs/lsu/,SB,ISIC,,,,
Laboratory of Synaptic Mechanisms,LSYM,https://www.epfl.ch/labs/lsym/,SV,BMI,,,,
Environmental Remote Sensing Laboratory,LTE,https://www.epfl.ch/labs/lte/,ENAC,IIE,,,,
Theory and History of Architecture Laboratory 3,LTH3,https://www.epfl.ch/labs/lth3/,ENAC,IA,,,,
Laboratory for Topological Matter,LTM,https://www.epfl.ch/labs/ltm/,SB,IPHYS,,,,
Laboratory of Theoretical Physics of Nanosystems,LTPN,https://www.epfl.ch/labs/ltpn/,SB,IPHYS,,,,
Laboratory for Water Quality and Treatment,LTQE,https://www.epfl.ch/labs/ltqe/,ENAC,IIE,,,,
Signal Processing Laboratory 2,LTS2,https://lts2.epfl.ch/,STI,IEL,,,,
Signal Processing Laboratory 4,LTS4,https://www.epfl.ch/labs/lts4/,STI,IEL,,,,
Signal Processing Laboratory 5,LTS5,https://www.epfl.ch/labs/lts5/,STI,IEL,,,,
Laboratory for ultrafast microscopy and electron scattering,LUMES,https://www.epfl.ch/labs/lumes/,SB,IPHYS,,,,
Urban Transport Systems Laboratory,LUTS,https://www.epfl.ch/labs/luts/,ENAC,IIC,,,,
"Laboratory for Ultrafast X-ray Sciences ",LUXS,https://www.epfl.ch/labs/luxs/,SB,ISIC,,,,
Laboratory of virology and genetics,LVG,https://www.epfl.ch/labs/tronolab/,SV,GHI,,,,
Laboratory of Wave Engineering,LWE,https://www.epfl.ch/labs/lwe/,STI,IEL,,,,
"Laboratory for spatial manufacturing ",MANSLAB1,https://www.epfl.ch/labs/manslab/,ENAC,IA,,,,
MATHICSE - Group,MATHICSE,https://www.epfl.ch/labs/mathicse/,SB,MATH,,,,
Structural Maintenance and Safety Laboratory,MCS,https://www.epfl.ch/labs/mcs/,ENAC,IIC,,,,
Computational Mathematics and Simulation Science,MCSS,https://www.epfl.ch/labs/mcss/,SB,MATH,,,,
Chair of Mathematical Data Science,MDS,https://www.epfl.ch/labs/mds/,IC,MATH,,,,
Microbiorobotic Systems Laboratory,MICROBS,https://www.epfl.ch/labs/microbs/,STI,IGM,,,,
Medical Image Processing Laboratory,MIPLAB,https://miplab.epfl.ch/,STI,IBI,,,,
Machine Learning and Optimization Laboratory,MLO,https://www.epfl.ch/labs/mlo/,IC,,,,,
Multimedia Signal Processing Group,MMSPG,https://www.epfl.ch/labs/mmspg/,STI,IEL,,,,
Chair of Numerical Modelling and Simulation,MNS,https://www.epfl.ch/labs/mns/,SB,MATH,,,,
Network Architecture Laboratory,NAL,https://www.epfl.ch/labs/nal/,IC,,,,,
Nanophotonics and Metrology laboratory,NAM,https://www.epfl.ch/labs/nam/,STI,IMT,,,,
Nanoelectronic Devices Laboratory,NANOLAB,https://www.epfl.ch/labs/nanolab/,STI,IEL,,,,
Advanced Nano-electromechanical Systems Laboratory,NEMS,https://www.epfl.ch/labs/nems/,STI,IGM,,,,
Neurodevelopmental Systems Biology Lab,NSBL,https://www.epfl.ch/labs/nsbl/,SV,BMI,,,,
"Chair of Operations,  Economics and Strategy",OES,https://www.epfl.ch/labs/oes/,CDM,MTEI,,,,
Chair of Continuous Optimization,OPTIM,https://www.epfl.ch/labs/optim/,SB,MATH,,,,
Parallel Systems Architecture Laboratory,PARSA,https://parsa.epfl.ch/,IC,,,,,
Programmable Biomaterials Laboratory,PBL,https://www.epfl.ch/labs/pbl/,STI,IMX,,,,
Physics of Complex Systems Laboratory,PCSL,https://www.epfl.ch/labs/pcsl/,SB,IPHYS,,,,
Chair of Partial Differential Equations,PDE,https://www.epfl.ch/labs/pde/,SB,MATH,,,,
Power Electronics Laboratory,PEL,https://www.epfl.ch/labs/pel/,STI,IEL,,,,
Plant Ecology Research Laboratory,PERL,https://www.epfl.ch/labs/perl/,ENAC,IIE,,,,
Photonic Systems Laboratory,PHOSL,https://www.epfl.ch/labs/phosl/,STI,IEL,,,,
Power and Wide-band-gap Electronics Research,POWERLAB,https://www.epfl.ch/labs/powerlab/,STI,IEL,,,,
Chair of Probabilities,PROB,https://www.epfl.ch/labs/prob/,SB,MATH,,,,
Chair of Stochastic Processes,PRST,https://www.epfl.ch/labs/prst/,SB,MATH,,,,
Photovoltaics and Thin Film Electronics Laboratory,PV-LAB,https://www.epfl.ch/labs/pvlab/,STI,IMT,,,,
Laboratory for Quantum Materials,QMAT,https://www.epfl.ch/labs/qmat/,STI,IMX,,,,
Risk Analytics and Optimization Chair,RAO,https://www.epfl.ch/labs/rao/,CDM,MTEI,,,,
Resilient Steel Structures Laboratory,RESSLAB,https://www.epfl.ch/labs/resslab/,ENAC,IIC,,,,
Realistic Graphics Lab,RGL,https://rgl.epfl.ch/,IC,,,,,
Chair of Random Geometry,RGM,https://www.epfl.ch/labs/rgm/,SB,MATH,,,,
Reconfigurable Robotics Lab,RRL,https://www.epfl.ch/labs/rrl/,STI,IGM,,,,
Scalable Computing Systems,SACS,https://www.epfl.ch/labs/sacs/,IC,,,,,
Stream Biofilm and Ecosystem Research Laboratory,SBER,https://www.epfl.ch/labs/sber/,ENAC,IIE,,,,
SCI IC BD - Group,SCI-IC-BD,https://supra.epfl.ch/,IC,,,,,
SCI IC PFP Group,SCI-IC-PFP,https://hci.epfl.ch/,IC,,,,,
SCI SB MG Group - Laboratory of Photoelectron Spectroscopy,SCI-SB-MG,https://www.epfl.ch/labs/lse/,SB,IPHYS,,,,
SCI SB MM Group - Group of Coordination Chemistry,SCI-SB-MM,https://www.epfl.ch/labs/gcc/,SB,ISIC,,,,
SCI SB MN Group - Group for Molecular Engineering of Functional Materials,SCI-SB-MN,https://www.epfl.ch/labs/gmf/,SB,ISIC,,,,
SCI SB RH Group,SCI-SB-RH,https://www.epfl.ch/labs/sci-sb-rh/,SB,IPHYS,,,,
SCI SB SD Group,SCI-SB-SD,https://www.epfl.ch/labs/sci-sb-sd/,SB,MATH,,,,
SCI-SB-SG Group - Group for Functionalized Biomaterials,SCI-SB-SG,https://www.epfl.ch/labs/gbf/,SB,ISIC,,,,
Data-Driven Modelling and Control Group,SCI-STI-AK,https://www.epfl.ch/labs/ddmac/,STI,IGM,,,,
SCI STI AS Group - Microwave and Antenna Group,SCI-STI-AS,https://www.epfl.ch/labs/mag/,STI,IEL,,,,
SCI STI CD Group - Radio Frequency Integrated Circuits Group,SCI-STI-CD,https://www.epfl.ch/labs/rfic/,STI,IEL,,,,
SCI STI DD Group - Group for Ferroelectrics and Functional Oxides,SCI-STI-DD,https://www.epfl.ch/labs/ffo/,STI,IMX,,,,
SCI STI DG Group - Coordination &amp; Interaction Systems Group,SCI-STI-DG,https://www.epfl.ch/labs/react/,STI,IEL,,,,
SCI STI DK Group - ICT for Sustainable Manufacturing Group,SCI-STI-DK,https://www.epfl.ch/labs/ict4sm/,STI,IGM,,,,
SCI STI FM Group - Industrial Process and Energy Systems Engineering,SCI-STI-FM,https://www.epfl.ch/labs/ipese/,STI,IGM,,,,
SCI-STI-FR Group - Electromagnetic Compatibility Laboratory,SCI-STI-FR,https://www.epfl.ch/labs/emc/,STI,IEL,,,,
Dependable Control and Decision Group,SCI-STI-GFT,https://www.epfl.ch/labs/decode/,STI,IGM,,,,
SCI STI HL Group - Optical Fiber Device Group,SCI-STI-HL,https://www.epfl.ch/labs/hl/,STI,IMT,,,,
SCI STI JMV Group - Applied signal processing group,SCI-STI-JMV,https://www.epfl.ch/labs/aspg/,STI,IEL,,,,
SCI STI JVH Group - Group of Energy Materials,SCI-STI-JVH,https://www.epfl.ch/labs/gem/,STI,IGM,,,,
SCI STI LT Group - Group for Fibre Optics,SCI-STI-LT,https://www.epfl.ch/labs/gfo/,STI,IEL,,,,
SCI-STI-MM Group - Design and Development of Software/Hardware System Architectures,SCI-STI-MM,https://www.epfl.ch/labs/gramm/,STI,IEL,,,,
SCI STI PO Group - Group of Thermal Turbomachinery,SCI-STI-PO,https://www.epfl.ch/labs/gtt/,STI,IGM,,,,
SCI STI RC Group - Distributed Electrical Systems Laboratory,SCI-STI-RC,https://www.epfl.ch/labs/desl-pwrs/,STI,IEL,,,,
SCI STI SM Group - Tribology and Interfacial Chemistry Group,SCI-STI-SM,https://www.epfl.ch/labs/tic/,STI,IMX,,,,
Chair of Statistical Data Science,SDS,https://www.epfl.ch/labs/sds/,SB,MATH,,,,
Chair of Full Prof. Morellec,SFI-EM,https://www.epfl.ch/labs/sfi-em/,CDM,SFI,,,,
Chair of Associate Prof. Hugonnier,SFI-JH,https://www.epfl.ch/labs/sfi-jh/,CDM,SFI,,,,
Full Prof. Collin-Dufresne Chair,SFI-PCD,https://www.epfl.ch/labs/sfi-pcd/,CDM,SFI,,,,
Chair of Associate Prof. Fahlenbrach,SFI-RF,https://www.epfl.ch/labs/sfi-rf/,CDM,SFI,,,,
Chair of Associate Prof. Malamud,SFI-SM,https://www.epfl.ch/labs/sfi-sm/,CDM,SFI,,,,
Student Kreativity and Innovation Laboratory,SKIL,https://www.epfl.ch/labs/skil/,ENAC,,,,,
Snow and Avalanche Simulation Laboratory,SLAB,https://www.epfl.ch/labs/slab/,ENAC,IIE,,,,
Soft Materials Laboratory,SMAL,https://www.epfl.ch/labs/smal/,STI,IMX,,,,
Chair of Mathematical Statistics,SMAT,https://www.epfl.ch/labs/smat/,SB,MATH,,,,
Physics Section,SPH,https://www.epfl.ch/schools/sb/sph/,SB,,,,,
Statistical Physics of Computation Laboratory,SPOC,https://www.epfl.ch/labs/spoc/,SB,IPHYS,,,,
Security and Privacy Engineering Laboratory,SPRING,https://www.epfl.ch/labs/spring/,IC,,,,,
Chair of Statistics,STAT,https://www.epfl.ch/labs/stat/,SB,MATH,,,,
Supramolecular Nanomaterials and Interfaces Laboratory - Constellium Chair,SUNMIL,https://www.epfl.ch/labs/sunmil/,STI,IMX,,,,
Structural Exploration Lab,SXL,https://www.epfl.ch/labs/sxl/,ENAC,IA,,,,
Chair of Analytic Number Theory,TAN,https://www.epfl.ch/labs/tan/,SB,MATH,,,,
Telecommunications Circuits Laboratory,TCL,https://www.epfl.ch/labs/tcl/,STI,IEL,,,,
Theoretical Computer Science,TCS,https://www.epfl.ch/schools/ic/tcs/,IC,,,,,
Thermal Engineering for the Built Environment Laboratory,TEBEL,https://www.epfl.ch/labs/tebel/,ENAC,IIC,,,,
Laboratory of theory and simulation of materials,THEOS,https://www.epfl.ch/labs/theos/,STI,IMX,,,,
Chair of Technology and Innovation Strategy,TIS,https://www.epfl.ch/labs/tis/,CDM,MTEI,,,,
Theory of Machine Learning Laboratory,TML,https://www.epfl.ch/labs/tml/,IC,,,,,
Chair of Number Theory,TN,https://www.epfl.ch/labs/tn/,SB,MATH,,,,
Bertarelli Foundation Chair in Translational Neuroengineering,TNE,https://www.epfl.ch/labs/tne/,STI,IBI,,,,
Chair of Technology and Operations Management,TOM,https://www.epfl.ch/labs/tom/,CDM,MTEI,,,,
Geodetic Engineering Laboratory,TOPO,https://www.epfl.ch/labs/topo/,ENAC,IIE,,,,
Laboratory of Environmental Toxicology,TOX,https://www.epfl.ch/labs/tox/,ENAC,IIE,,,,
Transport and Mobility Laboratory,TRANSP-OR,https://www.epfl.ch/labs/transp-or/,ENAC,IIC,,,,
Laboratory of Techniques and Preservation of Modern Architecture,TSAM,https://www.epfl.ch/labs/tsam/,ENAC,IA,,,,
Unsteady Flow Diagnostics Laboratory,UNFOLD,https://www.epfl.ch/labs/unfold/,STI,IGM,,,,
Prof. Ablasser Group,UPABLASSER,https://www.epfl.ch/labs/ablasserlab/,SV,GHI,,,,
Alexander Mathis Lab,UPAMATHIS,https://www.epfl.ch/labs/alexandermathis-lab/,SV,BMI,,,,
Prof. Barth Group - Laboratory of Protein and Cell Engineering,UPBARTH,https://www.epfl.ch/labs/barth-lab/,SV,IBI,,,,
Bitbol Lab,UPBITBOL,https://www.epfl.ch/labs/bitbol-lab/,SV,IBI,,,,
Prof. Blokesch Group - Laboratory of Molecular Microbiology,UPBLO,https://www.epfl.ch/labs/blokesch-lab/,SV,GHI,,,,
Prof. Brisken Group,UPBRI,https://www.epfl.ch/labs/brisken-lab/,SV,ISREC,,,,
Prof. Constam Group,UPCDA,https://www.epfl.ch/labs/constam-lab/,SV,ISREC,,,,
Prof. Courtine Group,UPCOURTINE,https://www.epfl.ch/labs/courtine-lab/,SV,BMI,,,,
Prof. De Palma Group,UPDEPALMA,https://www.epfl.ch/labs/depalma-lab/,SV,ISREC,,,,
Laboratory of Systems Biology and Genetics,UPDEPLA,https://www.epfl.ch/labs/deplanckelab/,SV,IBI,,,,
Laboratory of Developmental Genomics,UPDUB,https://www.epfl.ch/labs/duboule-lab/,SV,ISREC,,,,
Prof. Gönczy Group,UPGON,https://www.epfl.ch/labs/gonczy-lab/,SV,ISREC,,,,
Nestlé Chair - Prof. Gräff Group,UPGRAEFF,https://www.epfl.ch/labs/graefflab/,SV,BMI,,,,
Laboratory for Topology and Neuroscience,UPHESS,https://www.epfl.ch/labs/hessbellwald-lab/,SV,BMI,,,,
Prof. Huelsken Group - Tumor Heterogeneity and Stemness in Cancer,UPHUELSKEN,https://www.epfl.ch/labs/huelsken-lab/,SV,ISREC,,,,
Computational design of Robots and Embodied Autonomous TEchnologies Lab,UPHUGES,https://www.epfl.ch/labs/create/,STI,IGM,,,,
Prof. Hummel Group,UPHUMMEL,https://www.epfl.ch/labs/hummel-lab/,SV,BMI,,,,
Prof. McKinney Group - Laboratory of Microbiology and Microtechnology,UPKIN,https://www.epfl.ch/labs/mckinney-lab/,SV,GHI,,,,
Prof. Lemaitre Group,UPLEM,https://www.epfl.ch/labs/lemaitrelab/,SV,GHI,,,,
Prof. Lingner Group,UPLIN,https://www.epfl.ch/labs/lingner-lab/,SV,ISREC,,,,
Laboratory of Neural Genetics and Disease,UPMCCABE,https://www.epfl.ch/labs/mccabelab/,SV,BMI,,,,
Prof. Meylan Group,UPMEYLAN,https://www.epfl.ch/labs/meylan-lab/,SV,ISREC,,,,
Bertarelli Foundation Chair in Integrative Neuroscience,UPMWMATHIS,https://www.epfl.ch/labs/mackenziemathis-lab/,SV,BMI,,,,
Prof. Naef Group - Computational Systems Biology Laboratory,UPNAE,https://www.epfl.ch/labs/naef-lab/,SV,IBI,,,,
Prof. Oates Group,UPOATES,https://www.epfl.ch/labs/oateslab/,SV,IBI,,,,
Prof. Oricchio Group,UPORICCHIO,https://www.epfl.ch/labs/oricchiolab/,SV,ISREC,,,,
Prof. Persat Group - Microbial Mechanics Lab,UPPERSAT,https://www.epfl.ch/labs/persat-lab/,SV,GHI,,,,
Prof. Radtke Group,UPRAD,https://www.epfl.ch/labs/radtke-lab/,SV,ISREC,,,,
Prof. Ramdya Group - Neuroengineering Laboratory,UPRAMDYA,https://www.epfl.ch/labs/ramdya-lab/,SV,BMI,,,,
Prof. Salathé Group (SV/IC),UPSALATHE1,https://www.epfl.ch/labs/salathelab/,IC,GHI,,,,
Schoonjans Group - Laboratory of Metabolic Signaling,UPSCHOONJANS,https://www.epfl.ch/labs/schoonjans-lab/,SV,IBI,,,,
Prof. Simanis Group,UPSIM,https://www.epfl.ch/labs/simanis-lab/,SV,ISREC,,,,
Suter Group - Sponsored Stem Cells Research Chair,UPSUTER,https://www.epfl.ch/labs/suter-lab/,SV,IBI,,,,
Prof. van der Goot Group,VDG,https://www.epfl.ch/labs/vdg/,SV,GHI,,,,
Visual Intelligence and Learning Lab,VILAB,https://vilab.epfl.ch/,IC,,,,,
Visual Intelligence for Transportation,VITA,https://www.epfl.ch/labs/vita/,ENAC,IIC,,,,
Very Large Scale Computing Laboratory,VLSC,https://www.epfl.ch/labs/vlsc/,IC,,,,,
Wind Engineering and Renewable Energy Laboratory,WIRE,https://www.epfl.ch/labs/wire/,ENAC,IIE,,,,
